station_type_測站種類,classification_測站分類,station_name_測站名稱,station_address_測站地址,monitor_item_監測項目,longitude_經度,latitude_緯度
自動測站,一般測站,大安站,臺北市大安區忠孝東路3段248巷30號、懷生國中,SO2、O3、NOx、CO、THC、PM10、PM2.5、風速、風向、溫度、濕度,121.540665,25.040152
自動測站,一般測站,大直站,臺北市中山區明水路325號4樓頂、北安國中,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.541539,25.077959
自動測站,一般測站,中正站,臺北市中正區公園路29號4樓頂、臺北市立大學附設小學,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5164056,25.03610556
自動測站,一般測站,內湖站,臺北市內湖區成功路2段320巷19號4樓、內湖區清潔隊部,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5900667,25.067875
自動測站,一般測站,木柵站,臺北市文山區指南路2段64號4樓頂、政治大學,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5755306,24.98738889
自動測站,一般測站,信義站,臺北市信義區松德路168巷15號3樓頂、興雅國中,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5718861,25.03595278
自動測站,一般測站,南港站,臺北市南港區興中路29號4樓頂、南港高工,SO2、O3、NOx、CO、THC、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.6074426,25.0559696
自動測站,一般測站,天母站,臺北市士林區至誠路一段62巷70號行政大樓頂、雨聲國小,SO2、O3、NOx、CO、THC、H2S、PM10、PM2.5、風速、風向、溫度、濕度,121.535,25.10276
自動測站,一般測站,延平站,臺北市大同區重慶北路三段320號行政大樓頂、啟聰國小,SO2、O3、NOx、CO、PM10、PM2.5、風速、風向、溫度、濕度,121.51305,25.07443
自動測站,交通測站,向陽站,臺北市南港區向陽路、市民大道口,SO2、O3、NOx、CO、THC、PM10、PM2.5、風速、風向、溫度、濕度,121.5957201,25.05174402
自動測站,交通測站,承德站,臺北市士林區承德路、中正路口,SO2、O3、NOx、CO、THC、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5164861,25.09135
自動測站,交通測站,中北站,臺北市中山區中山北路、南京東路口,SO2、O3、NOx、CO、THC、PM10、PM2.5、風速、風向、溫度、濕度、輻射,121.5227167,25.05206389
人工測站,人工測站,中正站,臺北市中正區公園路29號4樓頂、臺北市立大學附設小學,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5164056,25.03610556
人工測站,人工測站,木柵站,臺北市文山區指南路2段64號4樓頂、政治大學,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5755306,24.98738889
人工測站,人工測站,信義站,臺北市信義區松德路168巷15號3樓頂、興雅國中,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.5718861,25.03595278
人工測站,人工測站,南港站,臺北市南港區興中路29號4樓頂、南港高工,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.6074426,25.0559696
人工測站,人工測站,天母站,臺北市士林區至誠路一段62巷70號行政大樓頂、雨聲國小,TSP、落塵量、鉛、硫酸鹽、硝酸鹽、氯鹽,121.535,25.10276
